,inicio,varinicio,varfim,pt_v,id,vir,int,real,lit,leia,escreva,literal,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,facaAte,fimFaca,fim,eof
45,E1,E3,E6,E6,R13,E6,E6,E6,E6,R13,R13,E6,E6,E6,E6,R13,E6,E6,E8,E6,R13,R13,R13,R13,E7
46,E1,E3,E6,E6,R14,E6,E6,E6,E6,R14,R14,E6,E6,E6,E6,R14,E6,E6,E8,E6,R14,R14,R14,R14,E7
47,E1,E3,E6,S59,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
48,E1,E3,E6,R21,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S60,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
49,E1,E3,E6,R22,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,R22,E6,E6,R22,E8,R22,E9,E18,E19,E6,E7
50,E1,E3,E6,R23,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,R23,E6,E6,R23,E8,R23,E9,E18,E19,E6,E7
51,E1,E3,E6,E6,R28,E6,E6,E6,E6,R28,R28,E6,E6,E6,E6,R28,E6,E6,E8,E6,R28,R28,R28,R28,E7
52,E1,E3,E6,E6,R29,E6,E6,E6,E6,R29,R29,E6,E6,E6,E6,R29,E6,E6,E8,E6,R29,R29,R29,R29,E7
53,E1,E3,E6,E6,R30,E6,E6,E6,E6,R30,R30,E6,E6,E6,E6,R30,E6,E6,E8,E6,R30,R30,R30,R30,E7
54,E1,E3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S61,E8,E6,E9,E18,E19,E6,E7
55,E1,E3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,S62,E9,E18,E19,E6,E7
56,E1,E3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S63,E8,E6,E9,E18,E19,E6,E7
57,E1,E3,R6,E6,E6,E6,R6,R6,R6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
58,E1,E3,E6,E6,S44,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
59,E1,E3,E6,E6,R19,E6,E6,E6,E6,R19,R19,E6,E6,E6,E6,R19,E6,E6,E8,E6,R19,R19,R19,R19,E7
60,E1,E3,E6,E6,S49,E6,E6,E6,E6,E6,E6,E6,S50,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
61,E1,E3,E6,E6,S13,E6,E6,E6,E6,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,E18,S70,E6,E7
